Serial#,Property_type,Price,Location,City,bathroom,purpose,bedroom,Area in Marla
100,House,23000000,Bahria Town Rawalpindi,Rawalpindi,6,For Sale,6,10
101,House,9990000,Gulshan Abad,Rawalpindi,2,For Sale,3,10
102,House,22500000,Media Town,Rawalpindi,5,For Sale,5,12
104,House,9000000,Bahria Town Rawalpindi,Rawalpindi,4,For Sale,3,5
107,House,23000000,Bahria Town Rawalpindi,Rawalpindi,6,For Sale,5,12
108,House,39500000,Bahria Town Rawalpindi,Rawalpindi,7,For Sale,6,20
109,House,21000000,Bahria Town Rawalpindi,Rawalpindi,7,For Sale,5,10
110,House,37000000,Bahria Town Rawalpindi,Rawalpindi,5,For Sale,5,20
111,House,37000000,Bahria Town Rawalpindi,Rawalpindi,7,For Sale,6,20
112,House,37500000,Bahria Town Rawalpindi,Rawalpindi,7,For Sale,5,20
113,Flat,4800000,Bahria Town Rawalpindi,Rawalpindi,1,For Sale,1,3.8
114,House,35000000,Bahria Town Rawalpindi,Rawalpindi,5,For Sale,5,20
115,Penthouse,25000000,Bahria Town Rawalpindi,Rawalpindi,4,For Sale,4,10
116,Flat,7500000,Bahria Town Rawalpindi,Rawalpindi,2,For Sale,2,5.5
117,House,12800000,Bahria Town Rawalpindi,Rawalpindi,4,For Sale,4,7
118,House,5000000,Chakri Road,Rawalpindi,5,For Sale,6,5
119,House,22000000,Bahria Town Rawalpindi,Rawalpindi,6,For Sale,5,10
120,House,38000000,Bahria Town Rawalpindi,Rawalpindi,7,For Sale,6,20
121,House,18000000,Askari 14,Rawalpindi,4,For Sale,4,10
122,House,25000000,Askari 13,Rawalpindi,5,For Sale,4,10
123,House,30000000,Askari 12,Rawalpindi,6,For Sale,4,10
124,House,23000000,Askari 13,Rawalpindi,5,For Sale,4,10
126,House,32000000,Askari 14,Rawalpindi,5,For Sale,5,22
128,House,25000000,Askari 13,Rawalpindi,6,For Sale,5,10
129,House,6000000,Bahria Town Rawalpindi,Rawalpindi,2,For Sale,2,5
131,House,28000000,Askari 10,Rawalpindi,5,For Sale,5,10
132,House,5300000,Gulshan-e-Iqbal,Rawalpindi,3,For Sale,2,5
133,House,19900000,Shalley Valley,Rawalpindi,6,For Sale,6,10
134,House,15000000,Askari 13,Rawalpindi,4,For Sale,3,5
135,House,18000000,Askari 14,Rawalpindi,5,For Sale,4,10
136,House,24500000,Askari 13,Rawalpindi,5,For Sale,4,10
137,House,27000000,Askari 13,Rawalpindi,4,For Sale,4,10
138,House,18000000,Askari 13,Rawalpindi,3,For Sale,3,5
141,House,125000,Chaklala Scheme,Rawalpindi,5,For Rent,5,20
142,Upper Portion,33000,Bahria Town Rawalpindi,Rawalpindi,3,For Rent,3,10
143,House,110000,Bahria Town Rawalpindi,Rawalpindi,7,For Rent,6,20
144,House,60000,Bahria Town Rawalpindi,Rawalpindi,6,For Rent,5,10
145,Upper Portion,50000,Bahria Town Rawalpindi,Rawalpindi,3,For Rent,3,20
146,House,70000,Bahria Town Rawalpindi,Rawalpindi,5,For Rent,5,10
147,Flat,22000,Bahria Town Rawalpindi,Rawalpindi,2,For Rent,2,2.4
149,Flat,35000,Chandni Chowk,Rawalpindi,2,For Rent,2,4
150,Upper Portion,48000,Bahria Town Rawalpindi,Rawalpindi,4,For Rent,3,20
151,Upper Portion,50000,Chaklala Scheme,Rawalpindi,3,For Rent,3,20
152,Flat,30000,Askari 15,Rawalpindi,3,For Rent,3,4.4
153,Flat,25000,Bahria Town Rawalpindi,Rawalpindi,1,For Rent,1,2.2
154,House,50000,Askari 14,Rawalpindi,6,For Rent,5,10
155,House,48000,Askari 14,Rawalpindi,4,For Rent,3,10
158,Flat,21000000,DHA Defence,Karachi,3,For Sale,3,8.9
159,House,6500000,Malir,Karachi,1,For Sale,2,3.2
160,House,13000000,Gadap Town,Karachi,4,For Sale,4,9.6
161,House,32000000,DHA Defence,Karachi,4,For Sale,4,4
163,Flat,16500000,Gulshan-e-Iqbal Town,Karachi,4,For Sale,4,9.8
165,House,12800000,Scheme 33,Karachi,6,For Sale,5,9.6
166,Flat,30000000,Cantt,Karachi,3,For Sale,3,10.2
167,Flat,34000000,Cantt,Karachi,4,For Sale,3,11.4
172,House,17000000,Gulshan-e-Iqbal Town,Karachi,5,For Sale,4,4.8
173,Flat,12500000,Gulshan-e-Iqbal Town,Karachi,3,For Sale,3,7.6
175,Flat,4100000,Abul Hassan Isphani Road,Karachi,2,For Sale,2,3.2
177,Flat,28000000,Cantt,Karachi,3,For Sale,3,11.4
178,Flat,32500000,Cantt,Karachi,3,For Sale,3,11.4
179,Flat,40000000,Cantt,Karachi,4,For Sale,4,13.2
194,House,19000000,Shahra-e-Faisal,Karachi,4,For Sale,4,9.6
195,Flat,7550000,Gizri,Karachi,2,For Sale,2,5.2
197,Flat,4500000,Saddar Town,Karachi,1,For Sale,2,1.3
198,Flat,6900000,Scheme 33,Karachi,3,For Sale,4,6.1
199,Flat,4500000,Gulistan-e-Jauhar,Karachi,2,For Sale,2,4.8
200,House,20000000,Gulshan-e-Iqbal Town,Karachi,3,For Sale,2,4.8
206,Flat,35000000,DHA Defence,Karachi,3,For Sale,2,9.1
207,Flat,25000000,DHA Defence,Karachi,1,For Sale,1,6
210,House,120000,Cantt,Karachi,4,For Rent,4,14
211,House,19000,Federal B Area,Karachi,2,For Rent,3,4.8
212,House,43000,North Karachi,Karachi,3,For Rent,6,11.5
215,House,130000,Malir,Karachi,5,For Rent,5,20
218,House,105000,Malir,Karachi,5,For Rent,5,20
219,Flat,65000,DHA Defence,Karachi,3,For Rent,3,7.8
220,Lower Portion,150000,Gulshan-e-Iqbal Town,Karachi,3,For Rent,3,16
221,House,38800000,Emaar Canyon Views,Islamabad,4,For Sale,5,30
223,Flat,15500000,DHA Defence,Islamabad,4,For Sale,4,12
225,Flat,3200000,F-17,Islamabad,2,For Sale,2,3.7
226,House,14000000,F-17,Islamabad,6,For Sale,4,7
227,Flat,3965000,I-12,Islamabad,2,For Sale,2,4.2
229,Flat,7800000,F-10,Islamabad,2,For Sale,2,5.8
230,House,30000000,Bahria Town,Islamabad,7,For Sale,6,10
231,House,21000000,Bahria Town,Islamabad,6,For Sale,5,10
232,Flat,8000000,Bahria Town,Islamabad,2,For Sale,2,6.1
233,House,180000,F-10,Islamabad,6,For Rent,6,26
234,Upper Portion,70000,F-10,Islamabad,3,For Rent,3,20
236,House,140000,F-10,Islamabad,6,For Rent,5,20
237,Upper Portion,75000,F-10,Islamabad,3,For Rent,3,20
239,House,220000,F-10,Islamabad,6,For Rent,6,20
240,Upper Portion,40000,Bahria Town,Islamabad,3,For Rent,3,10
241,Upper Portion,80000,F-10,Islamabad,3,For Rent,3,20
244,House,240000,F-10,Islamabad,5,For Rent,5,20
245,House,280000,F-10,Islamabad,6,For Rent,6,20
247,House,190000,F-10,Islamabad,6,For Rent,6,20
248,Upper Portion,130000,F-11,Islamabad,4,For Rent,4,26
249,Upper Portion,75000,F-11,Islamabad,3,For Rent,3,20
250,House,350000,F-11,Islamabad,6,For Rent,6,40
251,House,160000,F-11,Islamabad,5,For Rent,5,20
252,Lower Portion,110000,F-11,Islamabad,3,For Rent,3,26
253,House,190000,F-11,Islamabad,5,For Rent,5,20
254,House,180000,F-11,Islamabad,6,For Rent,6,20
256,Lower Portion,100000,F-11,Islamabad,3,For Rent,3,26
258,Upper Portion,130000,F-8,Islamabad,2,For Rent,2,20
260,Flat,17000,DHA Defence,Islamabad,1,For Rent,2,4
261,House,110000,F-11,Islamabad,4,For Rent,4,9.3
262,Upper Portion,80000,F-11,Islamabad,3,For Rent,3,26
263,House,110000,E-11,Islamabad,6,For Rent,6,10.1
264,Upper Portion,75000,F-11,Islamabad,3,For Rent,3,20
265,Flat,33000,Askari 14,Rawalpindi,4,For Rent,3,10
266,House,47000,Askari 14,Rawalpindi,4,For Rent,3,10
267,House,55000,Askari 13,Rawalpindi,4,For Rent,3,5
269,House,55000,Askari 13,Rawalpindi,4,For Rent,3,5
270,Flat,35000,Askari 7,Rawalpindi,4,For Rent,3,10
271,House,17600000,Bahria Town,Lahore,6,For Sale,5,10
272,House,17500000,Bahria Town,Lahore,6,For Sale,5,10
273,House,35000000,Askari,Lahore,5,For Sale,4,17
274,House,22000000,Askari,Lahore,5,For Sale,4,10
275,House,23500000,Askari,Lahore,6,For Sale,5,10
276,House,41500000,Askari,Lahore,6,For Sale,5,20
277,House,23000000,Askari,Lahore,5,For Sale,4,10
279,House,20500000,Askari,Lahore,4,For Sale,3,10
280,House,21000000,Askari,Lahore,4,For Sale,3,10
281,House,19200000,Architects Engineers Housing Society,Lahore,7,For Sale,5,10
282,House,7700000,Paragon City,Lahore,4,For Sale,3,4
283,House,21500000,DHA Defence,Lahore,5,For Sale,4,10
284,House,11800000,Bahria Town,Lahore,4,For Sale,3,5
285,House,26500000,DHA Defence,Lahore,5,For Sale,4,14
288,House,12500000,Samanabad,Lahore,3,For Sale,2,5.5
289,House,36000000,Askari,Lahore,5,For Sale,4,17
290,House,36000000,DHA Defence,Lahore,6,For Sale,5,20
292,House,20000000,Bahria Town,Lahore,7,For Sale,5,10
293,House,6000000,Allama Iqbal Town,Lahore,2,For Sale,3,2
294,House,5500000,Allama Iqbal Town,Lahore,2,For Sale,3,2
296,House,35000000,DHA Defence,Lahore,6,For Sale,5,20
300,House,22500000,Askari,Lahore,5,For Sale,5,10
301,House,22500000,Askari,Lahore,5,For Sale,4,10
302,House,23500000,Askari,Lahore,4,For Sale,4,10
303,House,15500000,Allama Iqbal Town,Lahore,5,For Sale,5,8.2
304,House,37000000,Askari,Lahore,5,For Sale,4,17
305,House,28000000,Askari,Lahore,4,For Sale,4,12
306,House,23500000,Askari,Lahore,5,For Sale,4,10
307,House,22000000,Askari,Lahore,6,For Sale,5,10
309,House,21500000,Askari,Lahore,5,For Sale,4,10
310,House,22500000,Askari,Lahore,5,For Sale,4,10
314,Flat,3200000,Mozang,Lahore,2,For Sale,2,3
318,House,8500000,Abdullahpur,Faisalabad,3,For Sale,4,5
319,Flat,10500000,Askari 7,Rawalpindi,4,For Sale,3,10
320,House,25000000,Askari 10,Rawalpindi,4,For Sale,5,10
323,Flat,11500000,Askari 4,Rawalpindi,4,For Sale,3,10
325,Flat,9800000,Askari 3,Rawalpindi,4,For Sale,3,10
326,Flat,9800000,Askari 2,Rawalpindi,4,For Sale,3,10
327,Flat,3000000,Bahria Town Rawalpindi,Rawalpindi,1,For Sale,1,1.5
328,House,21000000,Bahria Town Rawalpindi,Rawalpindi,6,For Sale,5,10
330,House,22500000,Askari 7,Rawalpindi,4,For Sale,3,10
331,House,25000000,Westridge,Rawalpindi,4,For Sale,3,11
332,House,22500000,Bahria Town Rawalpindi,Rawalpindi,6,For Sale,5,10
333,House,40000000,Bahria Town Rawalpindi,Rawalpindi,7,For Sale,6,20
334,House,38000000,Bahria Town Rawalpindi,Rawalpindi,6,For Sale,5,20
335,Flat,10000000,Askari 1,Rawalpindi,3,For Sale,3,10.7
336,House,22500000,Bahria Town Rawalpindi,Rawalpindi,6,For Sale,5,10
337,House,40000000,Bahria Town Rawalpindi,Rawalpindi,7,For Sale,6,20
338,House,42000000,Bahria Town Rawalpindi,Rawalpindi,7,For Sale,6,20
339,House,58000,Askari 14,Rawalpindi,6,For Rent,5,10
340,House,55000,Askari 14,Rawalpindi,5,For Rent,4,10
342,Lower Portion,48000,Askari 7,Rawalpindi,3,For Rent,3,10
343,Lower Portion,29500,Bahria Town Rawalpindi,Rawalpindi,4,For Rent,3,10
344,House,60000,Askari 13,Rawalpindi,4,For Rent,3,10
345,House,70000,Askari 10,Rawalpindi,4,For Rent,5,10.7
346,Flat,30500000,DHA Defence,Karachi,1,For Sale,1,5.5
353,Flat,6000000,Bahria Town Karachi,Karachi,2,For Sale,0,4.2
356,House,20000000,Bahria Town Karachi,Karachi,3,For Sale,3,8
357,House,14500000,Bahria Town Karachi,Karachi,5,For Sale,5,14
358,Flat,22500000,DHA Defence,Karachi,3,For Sale,3,8
360,House,21000000,Bahria Town Karachi,Karachi,3,For Sale,3,8
361,Flat,8500000,Jinnah Avenue,Karachi,3,For Sale,3,8
363,Flat,25000000,DHA Defence,Karachi,3,For Sale,3,8
364,Flat,3760000,PAF Housing Scheme,Karachi,2,For Sale,2,5.2
365,Flat,30000000,Gulshan-e-Iqbal Town,Karachi,2,For Sale,3,6.7
370,Upper Portion,150000,DHA Defence,Karachi,5,For Rent,4,40
371,House,250000,DHA Defence,Karachi,7,For Rent,6,20
372,Lower Portion,70000,Malir,Karachi,3,For Rent,3,20
373,Flat,5000000,E-11,Islamabad,2,For Sale,2,4
374,Flat,3600000,E-11,Islamabad,1,For Sale,1,3.1
375,Flat,4800000,E-11,Islamabad,2,For Sale,2,4
376,House,14000000,G-13,Islamabad,5,For Sale,5,4
377,House,14500000,Ghauri Town,Islamabad,5,For Sale,4,7
378,House,19000000,G-11,Islamabad,5,For Sale,5,5.6
381,House,6500000,DHA Defence,Islamabad,3,For Sale,3,8
382,House,18500000,DHA Defence,Islamabad,4,For Sale,3,10
384,House,15500000,PWD Housing Scheme,Islamabad,5,For Sale,5,10
385,Flat,7000000,G-11,Islamabad,1,For Sale,2,4
388,Flat,27900000,Jinnah Avenue,Islamabad,2,For Sale,2,6.9
389,Flat,18400000,Jinnah Avenue,Islamabad,1,For Sale,1,4.3
390,Flat,27100000,Jinnah Avenue,Islamabad,2,For Sale,2,6.6
392,Flat,9900000,E-11,Islamabad,3,For Sale,3,7.6
393,House,10500000,Kuri Road,Islamabad,4,For Sale,3,8
394,House,14500000,G-11,Islamabad,3,For Sale,4,4.4
396,Flat,4800000,Bahria Town,Islamabad,1,For Sale,1,2.9
397,House,13000000,Pakistan Town,Islamabad,4,For Sale,4,12
398,Flat,12500000,Gulberg,Islamabad,2,For Sale,2,6.9
400,House,9000000,Chatha Bakhtawar,Islamabad,4,For Sale,4,5
402,Flat,5656000,Bahria Town,Islamabad,2,For Sale,2,3.6
403,Flat,5800000,E-11,Islamabad,2,For Sale,2,4.1
408,Flat,42000000,F-11,Islamabad,4,For Sale,4,16.4
410,Upper Portion,45000,DHA Defence,Islamabad,3,For Rent,3,20
411,Lower Portion,60000,DHA Defence,Islamabad,4,For Rent,3,20
412,House,65000,Askari 13,Rawalpindi,5,For Rent,5,10
414,Flat,45000,Askari 3,Rawalpindi,4,For Rent,3,10
415,Flat,35000,Askari 7,Rawalpindi,4,For Rent,3,10
416,House,47000,Askari 14,Rawalpindi,4,For Rent,3,10
417,House,55000,Askari 7,Rawalpindi,4,For Rent,3,10
419,Flat,32000,Askari 1,Rawalpindi,7,For Rent,3,10
421,House,85000,Askari 12,Rawalpindi,5,For Rent,5,20
423,House,8000000,Model Town,Lahore,3,For Sale,2,3
426,House,17000000,Sultan Pura,Lahore,4,For Sale,5,7
428,House,39500000,DHA Defence,Lahore,7,For Sale,5,20
429,House,16500000,Gulberg,Lahore,4,For Sale,4,5
430,Flat,13000000,Askari,Lahore,3,For Sale,3,10.1
437,House,34500000,Gulberg,Lahore,5,For Sale,4,14
441,House,30000000,T & T Aabpara Housing Society,Lahore,6,For Sale,5,20
442,House,42000000,DHA Defence,Lahore,6,For Sale,5,20
443,House,42800000,DHA Defence,Lahore,6,For Sale,5,20
445,House,4500000,Al Faisal Town,Lahore,3,For Sale,3,2
450,House,13500000,T & T Aabpara Housing Society,Lahore,5,For Sale,5,10
451,Flat,7000000,Askari,Lahore,2,For Sale,2,6
452,House,9000000,Gulshan-e-Ravi,Lahore,4,For Sale,3,3
454,Flat,5100000,Bahria Town,Lahore,1,For Sale,1,2
455,House,12500000,Bahria Town,Lahore,3,For Sale,3,8
456,House,12500000,Canal Garden,Lahore,3,For Sale,2,10
457,House,30000000,Muslim Nagar Housing Scheme,Lahore,5,For Sale,5,24
459,House,15500000,Tricon Village,Lahore,5,For Sale,3,10
460,House,17600000,Bahria Town,Lahore,6,For Sale,5,10
463,House,13700000,Al Faisal Town,Lahore,6,For Sale,5,13
465,House,34000000,PCSIR Housing Scheme,Lahore,5,For Sale,5,20
469,House,11500000,Pak Arab Housing Society,Lahore,4,For Sale,3,5
470,House,42500000,DHA Defence,Lahore,6,For Sale,5,20
473,House,10000000,Pak Arab Housing Society,Lahore,2,For Sale,2,5
474,House,11500000,Pak Arab Housing Society,Lahore,4,For Sale,3,5
476,House,18800000,State Life Housing Society,Lahore,5,For Sale,4,10
477,House,11000000,Bahria Town,Lahore,3,For Sale,3,5
479,House,23600000,DHA Defence,Lahore,6,For Sale,4,10
483,House,10900000,DHA 11 Rahbar,Lahore,4,For Sale,4,5
484,House,5600000,Shershah Colony - Raiwind Road,Lahore,4,For Sale,3,3
485,House,33000000,DHA Defence,Lahore,5,For Sale,4,10
486,House,29500000,DHA Defence,Lahore,5,For Sale,4,10
488,House,7900000,Jaranwala Road,Lahore,4,For Sale,3,10
490,House,8900000,Muslim Town,Faisalabad,5,For Sale,4,5
491,House,12500000,Wapda City,Faisalabad,5,For Sale,4,10
492,House,4500000,Abdullahpur,Faisalabad,3,For Sale,3,3
494,House,17500000,Askari 11,Rawalpindi,6,For Sale,4,10
495,House,23500000,Bahria Town Rawalpindi,Rawalpindi,6,For Sale,5,11
496,Flat,11500000,Askari 14,Rawalpindi,4,For Sale,3,10
497,House,13000000,Adiala Road,Rawalpindi,4,For Sale,4,20
498,House,10500000,Bahria Town Rawalpindi,Rawalpindi,3,For Sale,3,8
499,House,38000000,Bahria Town Rawalpindi,Rawalpindi,6,For Sale,5,20
506,Flat,11000000,Askari 14,Rawalpindi,4,For Sale,3,10
510,House,13000000,Al-Noor Colony,Rawalpindi,5,For Sale,5,7
511,House,40000000,Bahria Town Rawalpindi,Rawalpindi,7,For Sale,6,20
514,Flat,35100000,Cantt,Karachi,3,For Sale,3,12.2
520,House,12500000,Northern Bypass,Karachi,5,For Sale,4,11
521,House,9205000,Fazaia Housing Scheme,Karachi,4,For Sale,3,11
522,Flat,6100000,Gulshan-e-Iqbal Town,Karachi,2,For Sale,2,3.7
526,Flat,9500000,North Nazimabad,Karachi,4,For Sale,3,6
527,Flat,3500000,Abul Hassan Isphani Road,Karachi,3,For Sale,5,5.1
528,House,40000000,New Karachi,Karachi,5,For Sale,4,4.8
530,Flat,22000000,DHA Defence,Karachi,3,For Sale,3,8
533,Flat,8500000,Scheme 33,Karachi,3,For Sale,3,6.7
534,Flat,14000000,Saddar Town,Karachi,4,For Sale,4,9
536,Flat,4100000,North Karachi,Karachi,2,For Sale,4,3.4
537,Flat,3400000,Anda Mor Road,Karachi,2,For Sale,2,2.9
538,Penthouse,15000000,Gulshan-e-Iqbal Town,Karachi,3,For Sale,3,7.6
539,Flat,39000000,Gulshan-e-Iqbal Town,Karachi,5,For Sale,4,9.8
540,Flat,4666000,Fazaia Housing Scheme,Karachi,2,For Sale,2,5.8
541,Flat,4848000,Scheme 33,Karachi,3,For Sale,3,3.6
543,House,40000000,Gulshan-e-Iqbal Town,Karachi,4,For Sale,3,16
544,House,8500000,Malir,Karachi,5,For Sale,4,4
548,House,7000000,North Karachi,Karachi,3,For Sale,3,3.4
549,Flat,17000000,Clifton,Karachi,3,For Sale,3,6.2
550,Flat,1700000,Lyari Town,Karachi,2,For Sale,2,3.2
551,Flat,22000000,DHA Defence,Karachi,4,For Sale,3,8
554,Flat,5049000,Scheme 33,Karachi,2,For Sale,0,4
555,Flat,8000000,DHA Defence,Karachi,2,For Sale,2,4.7
556,Flat,65000,Cantt,Karachi,3,For Rent,3,11.4
557,House,110000,Cantt,Karachi,6,For Rent,5,20
558,Upper Portion,75000,Cantt,Karachi,5,For Rent,3,22
559,Flat,135000,Bath Island,Karachi,5,For Rent,3,10.3
560,Upper Portion,75000,Cantt,Karachi,3,For Rent,3,22
561,Flat,55000,Cantt,Karachi,3,For Rent,3,12.2
562,Lower Portion,68000,Malir,Karachi,3,For Rent,3,20
563,House,110000,Cantt,Karachi,5,For Rent,5,20
565,Flat,25000,North Nazimabad,Karachi,2,For Rent,2,4.9
567,Flat,85000,Clifton,Karachi,4,For Rent,3,8.2
568,House,23000,Malir,Karachi,3,For Rent,2,5.6
569,House,185000,DHA Defence,Karachi,6,For Rent,4,20
571,Room,50000,DHA Defence,Karachi,3,For Rent,3,20
572,Upper Portion,45000,Malir,Karachi,2,For Rent,2,20
573,Flat,325000,Clifton,Karachi,4,For Rent,3,14.7
574,House,190000,Falcon Complex Faisal,Karachi,5,For Rent,5,20
575,House,200000,Jamshed Town,Karachi,5,For Rent,4,10
576,House,110000,DHA Defence,Islamabad,6,For Rent,6,20
577,House,650000,F-7,Islamabad,4,For Rent,4,24
578,House,120000,DHA Defence,Islamabad,5,For Rent,3,12
579,Flat,20500,I-11,Islamabad,2,For Rent,2,4.4
580,Flat,17000,DHA Defence,Islamabad,2,For Rent,2,3.6
581,House,55000,National Police Foundation O-9,Islamabad,6,For Rent,5,10
583,Upper Portion,62000,Korang Road,Islamabad,5,For Rent,5,14
584,House,20000,Bani Gala,Islamabad,1,For Rent,1,14
585,Upper Portion,65000,F-11,Islamabad,3,For Rent,3,26
586,Flat,75000,I-8,Islamabad,2,For Rent,0,5.1
587,Upper Portion,75000,F-11,Islamabad,3,For Rent,3,20
589,House,180000,F-10,Islamabad,6,For Rent,5,26
590,House,200000,F-10,Islamabad,5,For Rent,5,20
591,House,200000,F-10,Islamabad,5,For Rent,5,40
592,House,190000,F-10,Islamabad,6,For Rent,6,20
594,House,8500000,Bani Gala,Islamabad,5,For Sale,5,5
595,Flat,33000000,Diplomatic Enclave,Islamabad,3,For Sale,2,8
597,House,13000000,G-13,Islamabad,4,For Sale,3,5
598,Flat,15500000,DHA Defence,Islamabad,4,For Sale,3,10
601,Flat,15000000,DHA Defence,Islamabad,4,For Sale,3,10
602,House,21000000,Bahria Town,Islamabad,6,For Sale,5,10
604,Flat,10500000,G-11,Islamabad,3,For Sale,3,4.9
605,Flat,12500000,G-7,Islamabad,2,For Sale,3,5.8
606,House,36500000,Bahria Town,Islamabad,7,For Sale,6,20
608,House,23500000,Bahria Town,Islamabad,6,For Sale,5,10
610,House,23000000,Bahria Town,Islamabad,6,For Sale,5,10
611,House,27500000,G-11,Islamabad,5,For Sale,5,8
612,Flat,35000000,F-10,Islamabad,3,For Sale,3,10
616,Lower Portion,25000,Muslim Town,Faisalabad,3,For Rent,2,8
617,Upper Portion,75000,Fazaia Colony,Rawalpindi,3,For Rent,3,24
618,Upper Portion,33000,Bahria Town Rawalpindi,Rawalpindi,3,For Rent,3,10
621,House,115000,Bahria Town Rawalpindi,Rawalpindi,5,For Rent,5,20
622,House,60000,Bahria Town Rawalpindi,Rawalpindi,5,For Rent,4,11
623,House,20000000,Cavalry Ground,Lahore,6,For Sale,6,10
625,House,32500000,State Life Housing Society,Lahore,6,For Sale,5,20
626,House,34000000,State Life Housing Society,Lahore,6,For Sale,5,20
629,House,40000000,Gulberg,Lahore,4,For Sale,4,14
633,Flat,19000000,Askari,Lahore,4,For Sale,3,10
635,House,37500000,Gulberg,Lahore,4,For Sale,4,14
636,House,32000000,Cricketer Villas,Lahore,7,For Sale,5,26
637,House,10000000,Rehman Villas,Lahore,3,For Sale,3,4
638,House,44500000,DHA Defence,Lahore,6,For Sale,5,20
641,House,33000000,State Life Housing Society,Lahore,6,For Sale,5,20
644,House,33500000,Gulberg,Lahore,4,For Sale,4,14
647,House,6550000,Eden,Lahore,2,For Sale,3,4
649,House,42500000,DHA Defence,Lahore,6,For Sale,5,20
650,House,39900000,DHA Defence,Lahore,6,For Sale,5,10
651,House,16900000,Bahria Town,Lahore,6,For Sale,5,8
652,Flat,6000000,Faisal Town,Lahore,3,For Sale,3,5
653,House,7200000,Eden,Lahore,2,For Sale,3,5
654,Flat,14500000,Askari,Lahore,3,For Sale,3,10
655,House,11500000,Bahria Town,Lahore,4,For Sale,3,5
656,House,17600000,Bahria Town,Lahore,6,For Sale,5,10
